"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","p.value","category","indicator","exposure","step"
"fixed",NA,"int_cat_tot_avail_5",0.0769419066007556,0.0768925412955038,1.00064200382014,TRUE,"DY_forest_share",41,29,"Short-term",NA,"Count (sum)","Total","Available",5
"fixed",NA,"int_cat_tot_avail_6",0.0473672753000647,0.0439191092244816,1.07851174890544,TRUE,"DY_forest_share",76,54,"Short-term",NA,"Count (sum)","Total","Available",6
"fixed",NA,"int_cat_tot_avail_7",0.0344565191288353,0.0305645528554083,1.12733594670397,TRUE,"DY_forest_share",70,41,"Short-term",NA,"Count (sum)","Total","Available",7
"fixed",NA,"int_cat_pos_avail_1",-0.00452838729022788,0.0281874476485089,-0.160652619091159,TRUE,"DY_forest_share",134,73,"Short-term",NA,"Count (sum)","Positive","Available",1
"fixed",NA,"int_cat_pos_avail_2",0.0269265085650286,0.0458368748436963,0.58744206835322,TRUE,"DY_forest_share",79,56,"Short-term",NA,"Count (sum)","Positive","Available",2
"fixed",NA,"int_cat_pos_avail_3",0.037836790270942,0.0334216936315655,1.13210272010891,TRUE,"DY_forest_share",125,72,"Short-term",NA,"Count (sum)","Positive","Available",3
"fixed",NA,"int_cat_pos_avail_5",0.0356459079727034,0.0229177652402271,1.55538324086394,TRUE,"DY_forest_share",32,21,"Short-term",NA,"Count (sum)","Positive","Available",5
"fixed",NA,"int_cat_pos_avail_6",0.0600509197713605,0.0288775473807026,2.07950207750293,TRUE,"DY_forest_share",69,40,"Short-term",NA,"Count (sum)","Positive","Available",6
"fixed",NA,"int_cat_ena_avail_1",0.0123392412053021,0.0210827002338987,0.585278027406658,TRUE,"DY_forest_share",425,188,"Short-term",NA,"Count (sum)","Enabling","Available",1
"fixed",NA,"int_cat_ena_avail_2",0.0057121243583626,0.0296501248089081,0.192650938071142,TRUE,"DY_forest_share",294,103,"Short-term",NA,"Count (sum)","Enabling","Available",2
"fixed",NA,"int_cat_ena_avail_3",0.0675535521801146,0.0321706670483828,2.09984928439681,TRUE,"DY_forest_share",87,48,"Short-term",NA,"Count (sum)","Enabling","Available",3
"fixed",NA,"int_cat_neg_avail_1",0.0546494121566777,0.0599584101500197,0.911455324114523,TRUE,"DY_forest_share",84,44,"Short-term",NA,"Count (sum)","Negative","Available",1
"fixed",NA,"int_cat_tot_invol_1",0.00533163644348421,0.0232378080067184,0.229438010759997,TRUE,"DY_forest_share",256,148,"Short-term",NA,"Count (sum)","Total","Involved",1
"fixed",NA,"int_cat_tot_invol_2",0.014337444918488,0.024153920576758,0.593586654925253,TRUE,"DY_forest_share",97,78,"Short-term",NA,"Count (sum)","Total","Involved",2
"fixed",NA,"int_cat_tot_invol_3",0.0775104101912177,0.0351933478088836,2.20241650814625,TRUE,"DY_forest_share",66,51,"Short-term",NA,"Count (sum)","Total","Involved",3
"fixed",NA,"int_cat_tot_invol_4",0.0741294074431168,0.028094659660898,2.63855865626626,TRUE,"DY_forest_share",86,63,"Short-term",NA,"Count (sum)","Total","Involved",4
"fixed",NA,"int_cat_tot_invol_5",0.0917937951298743,0.0328496469592619,2.7943616941671,TRUE,"DY_forest_share",12,12,"Short-term",NA,"Count (sum)","Total","Involved",5
"fixed",NA,"int_cat_tot_invol_6",0.149883661563717,0.0348509653743423,4.30070329340325,TRUE,"DY_forest_share",13,11,"Short-term",NA,"Count (sum)","Total","Involved",6
"fixed",NA,"int_cat_tot_invol_7",0.0634556564659323,0.0376776120749831,1.68417404849457,TRUE,"DY_forest_share",7,7,"Short-term",NA,"Count (sum)","Total","Involved",7
"fixed",NA,"int_cat_pos_invol_1",0.0505891192254024,0.0300322257452037,1.68449450449012,TRUE,"DY_forest_share",123,80,"Short-term",NA,"Count (sum)","Positive","Involved",1
"fixed",NA,"int_cat_pos_invol_2",0.0854575352200141,0.0394103153358608,2.16840526374204,TRUE,"DY_forest_share",37,33,"Short-term",NA,"Count (sum)","Positive","Involved",2
"fixed",NA,"int_cat_pos_invol_3",0.0702534080434327,0.0314666204766987,2.23263277019074,TRUE,"DY_forest_share",47,31,"Short-term",NA,"Count (sum)","Positive","Involved",3
"fixed",NA,"int_cat_pos_invol_4",0.0699288850515318,0.0374223707688164,1.86863856070291,TRUE,"DY_forest_share",15,15,"Short-term",NA,"Count (sum)","Positive","Involved",4
"fixed",NA,"int_cat_pos_invol_5",0.114657770054185,0.0307182504335585,3.73256186260289,TRUE,"DY_forest_share",12,9,"Short-term",NA,"Count (sum)","Positive","Involved",5
"fixed",NA,"int_cat_pos_invol_6",0.125692857540005,0.0439377893029376,2.86070053896867,TRUE,"DY_forest_share",10,9,"Short-term",NA,"Count (sum)","Positive","Involved",6
"fixed",NA,"int_cat_ena_invol_1",0.0125656197378788,0.0205793510621838,0.610593584798169,TRUE,"DY_forest_share",293,167,"Short-term",NA,"Count (sum)","Enabling","Involved",1
"fixed",NA,"int_cat_ena_invol_2",0.0273303038876811,0.0286639649996363,0.953472553013091,TRUE,"DY_forest_share",102,77,"Short-term",NA,"Count (sum)","Enabling","Involved",2
"fixed",NA,"int_cat_ena_invol_3",0.133170153375001,0.0494456713013381,2.69326211719158,TRUE,"DY_forest_share",34,27,"Short-term",NA,"Count (sum)","Enabling","Involved",3
NA,NA,"int_cat_neg_invol_1",0.0394171654210862,0.149719236611537,0.263273887265125,TRUE,"DY_forest_share",11,9,"Short-term",0.795329577563387,"Count (sum)","Negative","Involved",1
"fixed",NA,"int_cat_tot_chnge_1",0.0333236071946256,0.0252487798393808,1.31981059705112,TRUE,"DY_forest_share",133,97,"Short-term",NA,"Count (sum)","Total","Changed behavior",1
"fixed",NA,"int_cat_tot_chnge_2",0.0169566744222964,0.0406817840813489,0.416812458086625,TRUE,"DY_forest_share",41,38,"Short-term",NA,"Count (sum)","Total","Changed behavior",2
"fixed",NA,"int_cat_tot_chnge_3",0.247472953981423,0.126428056457224,1.95742116833975,TRUE,"DY_forest_share",4,4,"Short-term",NA,"Count (sum)","Total","Changed behavior",3
"fixed",NA,"int_cat_tot_chnge_4",0.141800387717052,0.0459742982012245,3.08434045249384,TRUE,"DY_forest_share",3,3,"Short-term",NA,"Count (sum)","Total","Changed behavior",4
"fixed",NA,"int_cat_pos_chnge_1",0.114719220307963,0.0319036504650917,3.5958023184051,TRUE,"DY_forest_share",66,55,"Short-term",NA,"Count (sum)","Positive","Changed behavior",1
"fixed",NA,"int_cat_pos_chnge_2",0.0561005670325636,0.0424908848140154,1.32029651249011,TRUE,"DY_forest_share",13,12,"Short-term",NA,"Count (sum)","Positive","Changed behavior",2
NA,NA,"int_cat_pos_chnge_3",0.0566666666666665,NA,NA,TRUE,"DY_forest_share",1,1,"Short-term",NA,"Count (sum)","Positive","Changed behavior",3
