"effect","group","term","estimate","std.error","statistic","matching","outcome","n_treated","n_comparison","data","category","indicator","exposure","step"
"fixed",NA,"int_avail_bin_EE_1",-0.0124955081986471,0.0406409248843731,-0.307461216352675,TRUE,"post_clearing_any",475,176,"Long-term","Binary (any)"," EE","Available",1
"fixed",NA,"int_avail_bin_FE_1",0.060896780804683,0.0733286969298286,0.830463152276628,TRUE,"post_clearing_any",125,73,"Long-term","Binary (any)"," FE","Available",1
"fixed",NA,"int_avail_bin_NCLE_1",0.0213015834757892,0.0446467138116635,0.477114252252633,TRUE,"post_clearing_any",275,157,"Long-term","Binary (any)"," NCLE","Available",1
"fixed",NA,"int_avail_bin_RFAC_1",-0.035077495246907,0.0674997301793225,-0.519668673544601,TRUE,"post_clearing_any",155,71,"Long-term","Binary (any)"," RFAC","Available",1
"fixed",NA,"int_avail_bin_TC_1",-0.00876098137107483,0.0642103223378317,-0.13644194659202,TRUE,"post_clearing_any",204,48,"Long-term","Binary (any)"," TC","Available",1
"fixed",NA,"int_avail_bin_OI_1",-0.0686155052244381,0.0644431341174048,-1.06474500603015,TRUE,"post_clearing_any",199,103,"Long-term","Binary (any)"," OI","Available",1
"fixed",NA,"int_invol_bin_CLE_1",0.0810182589502,0.0549366510054006,1.47475787962094,TRUE,"post_clearing_any",160,117,"Long-term","Binary (any)"," CLE","Involved",1
"fixed",NA,"int_invol_bin_EE_1",0.1074080021687,0.0470443113642059,2.2831241239174,TRUE,"post_clearing_any",218,162,"Long-term","Binary (any)"," EE","Involved",1
"fixed",NA,"int_invol_bin_FE_1",0.0422745340914741,0.103541466592628,0.408286027643382,TRUE,"post_clearing_any",54,40,"Long-term","Binary (any)"," FE","Involved",1
"fixed",NA,"int_invol_bin_NCLE_1",-0.0148726069955002,0.0518675402164136,-0.286742092134026,TRUE,"post_clearing_any",155,107,"Long-term","Binary (any)"," NCLE","Involved",1
"fixed",NA,"int_invol_bin_RFAC_1",-0.00161096360609979,0.10361936491481,-0.0155469357240728,TRUE,"post_clearing_any",31,27,"Long-term","Binary (any)"," RFAC","Involved",1
"fixed",NA,"int_invol_bin_TC_1",0.0780106305193142,0.0599776844932274,1.30066092378279,TRUE,"post_clearing_any",118,82,"Long-term","Binary (any)"," TC","Involved",1
"fixed",NA,"int_invol_bin_OI_1",-0.14629908269411,0.0646360201798738,-2.26342962154815,TRUE,"post_clearing_any",147,103,"Long-term","Binary (any)"," OI","Involved",1
"fixed",NA,"int_chnge_bin_CLE_1",0.0394224997668597,0.0784820859594767,0.502312079054768,TRUE,"post_clearing_any",59,45,"Long-term","Binary (any)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_EE_1",-0.0398222801571416,0.0766654724048651,-0.519429136845892,TRUE,"post_clearing_any",53,46,"Long-term","Binary (any)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_bin_FE_1",-0.138235294117647,0.167909274516362,-0.823273726337116,TRUE,"post_clearing_any",20,17,"Long-term","Binary (any)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_bin_NCLE_1",0.0548630835831573,0.0698210628557429,0.78576694967405,TRUE,"post_clearing_any",77,66,"Long-term","Binary (any)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_bin_RFAC_1",0.213548074000733,0.184121488179542,1.15982157276774,TRUE,"post_clearing_any",13,11,"Long-term","Binary (any)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_bin_TC_1",0.239137075183148,0.160622170454063,1.48881735632841,TRUE,"post_clearing_any",17,17,"Long-term","Binary (any)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_bin_OI_1",-0.191654457728265,0.099018732824229,-1.93553737017092,TRUE,"post_clearing_any",46,41,"Long-term","Binary (any)"," OI","Changed behavior",1
"fixed",NA,"int_avail_sum_CLE_1",0.124195415465368,0.0595858090309574,2.08431197772011,TRUE,"post_clearing_any",208,125,"Long-term","Count (sum)"," CLE","Available",1
"fixed",NA,"int_avail_sum_EE_1",-0.0378259944400405,0.0405649429400107,-0.932479912420418,TRUE,"post_clearing_any",459,179,"Long-term","Count (sum)"," EE","Available",1
"fixed",NA,"int_avail_sum_FE_1",0.060896780804683,0.0733286969298286,0.830463152276628,TRUE,"post_clearing_any",125,73,"Long-term","Count (sum)"," FE","Available",1
"fixed",NA,"int_avail_sum_NCLE_1",-0.100807852832947,0.053650387964318,-1.87897714551464,TRUE,"post_clearing_any",93,77,"Long-term","Count (sum)"," NCLE","Available",1
"fixed",NA,"int_avail_sum_NCLE_2",-0.00403423867413034,0.0548306008222405,-0.0735764083127458,TRUE,"post_clearing_any",136,85,"Long-term","Count (sum)"," NCLE","Available",2
"fixed",NA,"int_avail_sum_NCLE_3",0.165359477124183,0.111937662735004,1.47724611255862,TRUE,"post_clearing_any",45,34,"Long-term","Count (sum)"," NCLE","Available",3
"fixed",NA,"int_avail_sum_NCLE_4",0.126578015782368,0.0843608612461013,1.50043531932549,TRUE,"post_clearing_any",32,27,"Long-term","Count (sum)"," NCLE","Available",4
"fixed",NA,"int_avail_sum_NCLE_5",0.0551780202809454,0.0657804068202641,0.838821511574286,TRUE,"post_clearing_any",63,36,"Long-term","Count (sum)"," NCLE","Available",5
"fixed",NA,"int_avail_sum_RFAC_1",0.00182955707020907,0.0685384966336783,0.026693860531952,TRUE,"post_clearing_any",154,68,"Long-term","Count (sum)"," RFAC","Available",1
"fixed",NA,"int_avail_sum_TC_1",-0.00876098137107483,0.0642103223378317,-0.13644194659202,TRUE,"post_clearing_any",204,48,"Long-term","Count (sum)"," TC","Available",1
"fixed",NA,"int_avail_sum_OI_1",0.0265762511810548,0.0624189236859937,0.425772339727452,TRUE,"post_clearing_any",163,81,"Long-term","Count (sum)"," OI","Available",1
"fixed",NA,"int_avail_sum_OI_2",-0.24355857609306,0.117866695985008,-2.06639012027654,TRUE,"post_clearing_any",85,52,"Long-term","Count (sum)"," OI","Available",2
"fixed",NA,"int_invol_sum_CLE_1",0.167254326986644,0.0570908883448925,2.92961507230789,TRUE,"post_clearing_any",153,112,"Long-term","Count (sum)"," CLE","Involved",1
"fixed",NA,"int_invol_sum_EE_1",0.0836501901921886,0.0469822541222075,1.78046353362703,TRUE,"post_clearing_any",213,163,"Long-term","Count (sum)"," EE","Involved",1
"fixed",NA,"int_invol_sum_FE_1",0.0422745340914741,0.103541466592628,0.408286027643382,TRUE,"post_clearing_any",54,40,"Long-term","Count (sum)"," FE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_1",-0.0610180591689671,0.0639693126721142,-0.953864542545982,TRUE,"post_clearing_any",99,79,"Long-term","Count (sum)"," NCLE","Involved",1
"fixed",NA,"int_invol_sum_NCLE_2",0.013672323228239,0.0658330969449585,0.207681604887434,TRUE,"post_clearing_any",59,47,"Long-term","Count (sum)"," NCLE","Involved",2
"fixed",NA,"int_invol_sum_NCLE_3",0.108673469186427,0.0989486854448336,1.09828108072255,TRUE,"post_clearing_any",16,15,"Long-term","Count (sum)"," NCLE","Involved",3
"fixed",NA,"int_invol_sum_NCLE_4",-0.0187062937706087,0.153731580828706,-0.121681528738406,TRUE,"post_clearing_any",13,12,"Long-term","Count (sum)"," NCLE","Involved",4
"fixed",NA,"int_invol_sum_NCLE_5",0.0196077549200186,0.123700464438858,0.158509953935623,TRUE,"post_clearing_any",10,10,"Long-term","Count (sum)"," NCLE","Involved",5
"fixed",NA,"int_invol_sum_RFAC_1",-0.00161096360609979,0.10361936491481,-0.0155469357240728,TRUE,"post_clearing_any",31,27,"Long-term","Count (sum)"," RFAC","Involved",1
"fixed",NA,"int_invol_sum_TC_1",0.0780106305193142,0.0599776844932274,1.30066092378279,TRUE,"post_clearing_any",118,82,"Long-term","Count (sum)"," TC","Involved",1
"fixed",NA,"int_invol_sum_OI_1",-0.174259620549309,0.0692807711572796,-2.51526675639492,TRUE,"post_clearing_any",128,91,"Long-term","Count (sum)"," OI","Involved",1
"fixed",NA,"int_invol_sum_OI_2",0.0152439024390242,0.116288463398893,0.131086971084436,TRUE,"post_clearing_any",41,32,"Long-term","Count (sum)"," OI","Involved",2
"fixed",NA,"int_chnge_sum_CLE_1",0.177303346866916,0.0874922329374394,2.02650384970395,TRUE,"post_clearing_any",53,43,"Long-term","Count (sum)"," CLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_EE_1",-0.0398222801571416,0.0766654724048651,-0.519429136845892,TRUE,"post_clearing_any",53,46,"Long-term","Count (sum)"," EE","Changed behavior",1
"fixed",NA,"int_chnge_sum_FE_1",-0.138235294117647,0.167909274516362,-0.823273726337116,TRUE,"post_clearing_any",20,17,"Long-term","Count (sum)"," FE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_1",0.0676662292250169,0.0668750381324748,1.01183088809572,TRUE,"post_clearing_any",75,66,"Long-term","Count (sum)"," NCLE","Changed behavior",1
"fixed",NA,"int_chnge_sum_NCLE_2",0.0476190467292118,0.189281970503741,0.251577298157251,TRUE,"post_clearing_any",5,5,"Long-term","Count (sum)"," NCLE","Changed behavior",2
"fixed",NA,"int_chnge_sum_RFAC_1",0.213548074000733,0.184121488179542,1.15982157276774,TRUE,"post_clearing_any",13,11,"Long-term","Count (sum)"," RFAC","Changed behavior",1
"fixed",NA,"int_chnge_sum_TC_1",0.239137075183148,0.160622170454063,1.48881735632841,TRUE,"post_clearing_any",17,17,"Long-term","Count (sum)"," TC","Changed behavior",1
"fixed",NA,"int_chnge_sum_OI_1",-0.12814969346545,0.104412740006355,-1.22733771240607,TRUE,"post_clearing_any",45,40,"Long-term","Count (sum)"," OI","Changed behavior",1
"fixed",NA,"int_cat_tot_availALL_1",-0.00558070906019993,0.0354351185498655,-0.157490909825702,TRUE,"post_clearing_any",386,191,"Long-term","Count (sum)","Total","Available",1
"fixed",NA,"int_cat_tot_availALL_2",-0.0532167167615174,0.0458585946239806,-1.16045241241843,TRUE,"post_clearing_any",241,161,"Long-term","Count (sum)","Total","Available",2
"fixed",NA,"int_cat_tot_availALL_3",-0.0439009825310833,0.0522910173648985,-0.839551126434056,TRUE,"post_clearing_any",161,116,"Long-term","Count (sum)","Total","Available",3
"fixed",NA,"int_cat_tot_availALL_4",0.0456415414456478,0.0426088887753987,1.07117417884881,TRUE,"post_clearing_any",179,114,"Long-term","Count (sum)","Total","Available",4
"fixed",NA,"int_cat_tot_availALL_5",0.00842731410338458,0.0429512470215272,0.196206505928939,TRUE,"post_clearing_any",193,159,"Long-term","Count (sum)","Total","Available",5
"fixed",NA,"int_cat_tot_availALL_6",-0.0415852517081106,0.0450496242563232,-0.923098747094958,TRUE,"post_clearing_any",291,131,"Long-term","Count (sum)","Total","Available",6
"fixed",NA,"int_cat_tot_availALL_7",-0.0826303728322865,0.0652200976331162,-1.26694647556507,TRUE,"post_clearing_any",210,89,"Long-term","Count (sum)","Total","Available",7
"fixed",NA,"int_cat_tot_availALL_8",0.0592029634743997,0.0644192472754132,0.919026005089563,TRUE,"post_clearing_any",145,74,"Long-term","Count (sum)","Total","Available",8
"fixed",NA,"int_cat_pos_availALL_1",-0.061041677682817,0.0389605310298056,-1.56675681951355,TRUE,"post_clearing_any",374,160,"Long-term","Count (sum)","Positive","Available",1
"fixed",NA,"int_cat_pos_availALL_2",-0.0686127813841124,0.035911084856104,-1.91062959136557,TRUE,"post_clearing_any",401,190,"Long-term","Count (sum)","Positive","Available",2
"fixed",NA,"int_cat_pos_availALL_3",-0.0466580701071193,0.0430239800406547,-1.08446661752424,TRUE,"post_clearing_any",242,162,"Long-term","Count (sum)","Positive","Available",3
"fixed",NA,"int_cat_pos_availALL_4",0.0241138386506185,0.0666018418378781,0.362059636568555,TRUE,"post_clearing_any",40,36,"Long-term","Count (sum)","Positive","Available",4
"fixed",NA,"int_cat_pos_availALL_6",0.528679653679654,0.0601713559704485,8.78623466520017,TRUE,"post_clearing_any",168,33,"Long-term","Count (sum)","Positive","Available",6
"fixed",NA,"int_cat_ena_availALL_1",0.0104531016456405,0.034203966043034,0.305610806433642,TRUE,"post_clearing_any",437,212,"Long-term","Count (sum)","Enabling","Available",1
"fixed",NA,"int_cat_ena_availALL_2",-0.109484819583196,0.0409417030985221,-2.67416378160262,TRUE,"post_clearing_any",312,166,"Long-term","Count (sum)","Enabling","Available",2
"fixed",NA,"int_cat_ena_availALL_3",-0.0588709874261597,0.0579142592862986,-1.01651973368306,TRUE,"post_clearing_any",276,125,"Long-term","Count (sum)","Enabling","Available",3
"fixed",NA,"int_cat_ena_availALL_4",-0.162564233434736,0.127508147361638,-1.27493212628737,TRUE,"post_clearing_any",113,33,"Long-term","Count (sum)","Enabling","Available",4
"fixed",NA,"int_cat_neg_availALL_1",0.0156485807691486,0.0364130637728982,0.429751829363934,TRUE,"post_clearing_any",440,135,"Long-term","Count (sum)","Negative","Available",1
"fixed",NA,"int_cat_neg_availALL_2",0.0381893948398801,0.0749415138966627,0.509589316444017,TRUE,"post_clearing_any",217,55,"Long-term","Count (sum)","Negative","Available",2
"fixed",NA,"int_cat_tot_involALL_1",-0.0627908056519973,0.0309785699114646,-2.02691104952394,TRUE,"post_clearing_any",470,282,"Long-term","Count (sum)","Total","Involved",1
"fixed",NA,"int_cat_tot_involALL_2",-0.027311377296563,0.0393947464810698,-0.69327460476708,TRUE,"post_clearing_any",273,207,"Long-term","Count (sum)","Total","Involved",2
"fixed",NA,"int_cat_tot_involALL_3",-0.0173866755215535,0.0435629230319866,-0.39911636574036,TRUE,"post_clearing_any",204,162,"Long-term","Count (sum)","Total","Involved",3
"fixed",NA,"int_cat_tot_involALL_4",0.043509970225375,0.0587965750857755,0.740008583185337,TRUE,"post_clearing_any",110,99,"Long-term","Count (sum)","Total","Involved",4
"fixed",NA,"int_cat_tot_involALL_5",0.132270022312589,0.0661231627092579,2.00035837508526,TRUE,"post_clearing_any",73,64,"Long-term","Count (sum)","Total","Involved",5
"fixed",NA,"int_cat_tot_involALL_6",-0.136367769290983,0.0960454531509184,-1.41982535161457,TRUE,"post_clearing_any",40,37,"Long-term","Count (sum)","Total","Involved",6
"fixed",NA,"int_cat_tot_involALL_7",0.0196146435309949,0.1259965775734,0.155676002545134,TRUE,"post_clearing_any",14,13,"Long-term","Count (sum)","Total","Involved",7
"fixed",NA,"int_cat_pos_involALL_1",-0.0233841376306144,0.033325762250471,-0.701683504036998,TRUE,"post_clearing_any",367,253,"Long-term","Count (sum)","Positive","Involved",1
"fixed",NA,"int_cat_pos_involALL_2",-0.0203561384035061,0.0525230275108334,-0.38756597569147,TRUE,"post_clearing_any",141,124,"Long-term","Count (sum)","Positive","Involved",2
"fixed",NA,"int_cat_pos_involALL_3",0.0607136448044872,0.0561235110571518,1.08178628993224,TRUE,"post_clearing_any",83,65,"Long-term","Count (sum)","Positive","Involved",3
"fixed",NA,"int_cat_pos_involALL_4",-0.0475451601221817,0.0862790086706566,-0.551062892987917,TRUE,"post_clearing_any",32,32,"Long-term","Count (sum)","Positive","Involved",4
"fixed",NA,"int_cat_pos_involALL_5",0.0382716037449776,0.11140607278111,0.343532473496066,TRUE,"post_clearing_any",16,14,"Long-term","Count (sum)","Positive","Involved",5
"fixed",NA,"int_cat_pos_involALL_6",0.0196077549200186,0.123700464438858,0.158509953935623,TRUE,"post_clearing_any",10,10,"Long-term","Count (sum)","Positive","Involved",6
"fixed",NA,"int_cat_ena_involALL_1",-0.032053347194764,0.0319734160409449,-1.00249992536665,TRUE,"post_clearing_any",434,274,"Long-term","Count (sum)","Enabling","Involved",1
"fixed",NA,"int_cat_ena_involALL_2",0.0266976814288629,0.0530871404976626,0.502902985140788,TRUE,"post_clearing_any",173,132,"Long-term","Count (sum)","Enabling","Involved",2
"fixed",NA,"int_cat_ena_involALL_3",-0.0400153736521096,0.101693177994427,-0.393491229611316,TRUE,"post_clearing_any",57,51,"Long-term","Count (sum)","Enabling","Involved",3
"fixed",NA,"int_cat_neg_involALL_1",-0.0303082777544626,0.0491359494557734,-0.616824913126848,TRUE,"post_clearing_any",382,144,"Long-term","Count (sum)","Negative","Involved",1
"fixed",NA,"int_cat_neg_involALL_2",-0.416666666666667,0.148837094879382,-2.79948131884954,TRUE,"post_clearing_any",12,12,"Long-term","Count (sum)","Negative","Involved",2
"fixed",NA,"int_cat_tot_chngeALL_1",-0.0112951505405726,0.034974423652481,-0.322954586837668,TRUE,"post_clearing_any",418,237,"Long-term","Count (sum)","Total","Changed behavior",1
"fixed",NA,"int_cat_tot_chngeALL_2",-0.0266408812485334,0.053686951288685,-0.49622637547959,TRUE,"post_clearing_any",134,120,"Long-term","Count (sum)","Total","Changed behavior",2
"fixed",NA,"int_cat_tot_chngeALL_3",-0.033238491648789,0.090523099232127,-0.367182431122425,TRUE,"post_clearing_any",36,36,"Long-term","Count (sum)","Total","Changed behavior",3
"fixed",NA,"int_cat_tot_chngeALL_4",-0.259204170226788,0.157513749736756,-1.64559710285598,TRUE,"post_clearing_any",9,9,"Long-term","Count (sum)","Total","Changed behavior",4
"fixed",NA,"int_cat_pos_chngeALL_1",-0.0237337317682889,0.0418232842277097,-0.567476519516472,TRUE,"post_clearing_any",199,158,"Long-term","Count (sum)","Positive","Changed behavior",1
"fixed",NA,"int_cat_pos_chngeALL_2",0.00612968452267,0.0794342123872176,0.0771668068261274,TRUE,"post_clearing_any",53,44,"Long-term","Count (sum)","Positive","Changed behavior",2
"fixed",NA,"int_cat_pos_chngeALL_3",0.142857142857143,0.233284737407922,0.612372435695795,TRUE,"post_clearing_any",7,7,"Long-term","Count (sum)","Positive","Changed behavior",3
"fixed",NA,"int_cat_ena_chngeALL_1",-0.0607372124430876,0.0517058203559681,-1.1746687708452,TRUE,"post_clearing_any",153,134,"Long-term","Count (sum)","Enabling","Changed behavior",1
"fixed",NA,"int_cat_ena_chngeALL_2",-0.18038333989249,0.121686446020413,-1.48236180603245,TRUE,"post_clearing_any",31,30,"Long-term","Count (sum)","Enabling","Changed behavior",2
"fixed",NA,"int_cat_ena_chngeALL_3",0.5,0.499916207089462,1.00016761391079,TRUE,"post_clearing_any",2,2,"Long-term","Count (sum)","Enabling","Changed behavior",3
"fixed",NA,"int_cat_neg_chngeALL_1",0.0447904773322611,0.0493299975201139,0.907976476463397,TRUE,"post_clearing_any",266,156,"Long-term","Count (sum)","Negative","Changed behavior",1
