DGP_Form,Inference_Form,index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
101,exponential,tau[402],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[403],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[404],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[405],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[406],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[407],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[408],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[409],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[410],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[411],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[412],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[413],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[414],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[415],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[416],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[417],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[418],0.0063,0.0254,-0.0432,0.0522,0.0003,0.0003,10035.6624,6181.7132,1.0001
101,exponential,tau[419],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[420],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[421],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[422],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[423],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[424],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[425],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[426],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[427],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[428],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[429],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[430],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[431],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[432],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[433],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[434],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[435],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[436],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[437],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[438],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[439],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[440],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[441],0.0046,0.0188,-0.032,0.0388,0.0002,0.0002,10332.2513,6448.2974,1.0001
101,exponential,tau[442],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[443],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[444],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[445],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[446],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[447],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[448],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[449],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[450],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[451],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[452],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[453],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[454],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[455],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[456],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[457],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[458],0.0055,0.0223,-0.0364,0.0475,0.0002,0.0002,10188.4491,6210.6405,1.0001
101,exponential,tau[459],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[460],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[461],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[462],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[463],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[464],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[465],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[466],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[467],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[468],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[469],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[470],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[471],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[472],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[473],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[474],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[475],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[476],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[477],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[478],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[479],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[480],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[481],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[482],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[483],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[484],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[485],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[486],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[487],0.0036,0.015,-0.0253,0.031,0.0001,0.0002,10464.5982,6471.1032,1.0001
101,exponential,tau[488],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
101,exponential,tau[489],0.0025,0.0106,-0.0181,0.022,0.0001,0.0001,10653.9752,6820.3865,1.0001
101,exponential,tau[490],0.0013,0.0057,-0.0097,0.0117,0.0001,0.0001,10720.7621,6753.7936,1.0001
